7zip 24.09-3
abcde 2.9.3-5
abseil-cpp 20250127.1-1
acl 2.3.2-1
acpica 20240927-1
alsa-card-profiles 1:1.4.1-1
alsa-lib 1.2.13-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
alsa-utils 1.2.13-2
aom 3.12.0-1
archlinux-keyring 20250123-1
argon2 20190702-6
aribb24 1.0.3-4
aspnet-runtime 9.0.3.sdk104-1
attr 2.5.2-1
audit 4.0.3-1
aura 4.0.8-1
aura-debug 4.0.8-1
autoconf 2.72-1
autogen 5.18.16-5
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
base 3-2
base-devel 1-2
bash 5.2.037-2
bash-completion 2.16.0-1
bat 0.25.0-4
binutils 2.44-1
bison 3.8.2-8
bridge-utils 1.7.1-2
brotli 1.1.0-3
btrfs-progs 6.13-1
bzip2 1.0.8-6
c-ares 1.34.4-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.110-1
ca-certificates-utils 20240618-1
cd-discid 1.4-3
cdparanoia 10.2-9
cdrtools 3.02a09-6
checkbashisms 2.24.5-1
cifs-utils 7.3-1
cjson 1.7.18-1
cmake 4.0.0-1
colord 1.4.7-2
composer 2.8.6-1
containerd 2.0.4-1
coreutils 9.6-4
cppdap 1.58.0-2
cracklib 2.10.3-1
cryptsetup 2.7.5-2
ctags 1:6.1.0-2
curl 8.12.1-1
daemonize 1.7.8-3
dash 0.5.12-1
dashbinsh 0.1-5
dav1d 1.5.1-1
db 6.2.32-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 36-4
dbus-broker-units 36-4
dconf 0.40.0-3
debugedit 5.1-1
device-mapper 2.03.31-1
dhall 1.41.2-203
dhall-json 1.7.11-228
dhall-yaml 1.2.11-230
diffutils 3.11-2
dina-font 2.92-10
direnv 2.35.0-1
dkms 3.1.6-1
dmraid 1.0.0.rc16.3-15
dnssec-anchors 20190629-4
docker 1:28.0.4-1
docker-buildx 0.22.0-1
docker-compose 2.34.0-1
dos2unix 7.5.2-2
dosfstools 4.2-5
dotnet-host 9.0.3.sdk104-1
dotnet-runtime 9.0.3.sdk104-1
dotnet-sdk 9.0.3.sdk104-1
dotnet-targeting-pack 9.0.3.sdk104-1
duktape 2.7.0-7
e2fsprogs 1.47.2-2
elfutils 0.192-4
exfat-utils 1.4.0-4
expat 2.7.1-1
